Amenities,Area_Sqft,Description,District,Ethnic,Facing,Floor,Furnishing,Keys_On_Hand,Lease,ListingTitle,NumBaths,NumBeds,Pets,Price_psf,RentalRate,Url 
"Roof Terrace,Aircon,Stove,Fridge,Swimming Pool,Dryer,Parking,Washer,Security,BBQ,Closet","2,013 sqft (built up)","Chancery Grove cluster homes (also known as townhouses) are set in the peaceful neighbourhood of Novena and Thomson Road.

~ Walking distance to Novena MRT Station
~ Walking distance to Square 2, Velocity @ Novena Square and United Square
~ Close proximity to Orchard Road
~ Close proximity to renowned school: Chatsworth International School & ISS International School
~ Walking distance to Tan Tock Seng Hospital, Novena Medical Center, Novena Specialist Center

Facilities
~ 24-hour Security
~ BBQ area
~ Gym
~ Swimming Pool
~ Children’s Playground

Available for Lease: 4-bedroom townhouse
~ Partial furnished
~ 4 bedrooms
~ 3 bathrooms (1 attached, 2 common)
~ 2013 sqft approx
~ Available for immediate move-in
~ Asking $6600/mth negotiable

The Time is Now. Call us @ 9722-9968.
Gavin Gan (Reg No: R020227H)
OrangeTee & Tie (L3009250K)

__________________________________
Renting is Easy when You Talk to Us
More listings @ www.SGrentals.com",D11,All races welcome,,,Partially Furnished,,Flexible,Chancery Grove,3 Baths,4 Beds,Allowed,S$3.28 psf,"S$6,600/mo",https://www.99.co/singapore/rent/property/chancery-lane-landed-nZuyYZaQZ2RLnd9DYKTJJP
"Security,Closet,Aircon,Stove,Fridge,Bed,Utility Room,Jacuzzi,Fitness Corner,Parking,Washer,Lap Pool,Gym","3,477 sqft (built up)","SeaHill is located in the tranquil West Coast residential estate, and sits just between the scenic shoreline of West Coast Park and the lush greenery of Clementi Woods Park.

Each townhouse unit comprises of 2 storeys + basement + roof terrace, and includes 2 dedicated parking lots per unit.

~ 2 minutes’ walk to West Coast Park
~ Close to West Coast Plaza & West Coast Market Square
~ Close to National University of Singapore

Facilities
~ 24-hour Security
~ Dining Pavilion
~ Meeting Pavilion
~ Massage Pavilion
~ Swimming Pool
~ Kids Pool
~ Spa Pool
~ Aqua Gym
~ Gym
~ Tennis Court
~ BBQ Pits

Available for Lease: 4-bedroom townhouse
~ Partial furnished, or fully furnished
~ 4 bedrooms
~ 5 bathrooms (1 attached, 2 common, 1 powder, 1 yard)
~ Utility room
~ Basement
~ Roof terrace
~ 2 private parking lots
~ 3477 sqft approx
~  Bimonthly aircon maintenance by Landlord
~  Half-yearly outdoor jacuzzi maintenance by Landlord
~ Available for immediate move-in
~ Asking $9500/mth negotiable

The Time is Now. Call us @ 9722-9968.
Gavin Gan (Reg No: R020227H)
OrangeTee & Tie (L3009250K)

__________________________________
Renting is Easy when You Talk to Us
More listings at www.SGrentals.com",D05,,,,Fully Furnished,,Flexible,Seahill,5 Baths,4 Beds,Allowed,S$2.73 psf,"S$9,500/mo",https://www.99.co/singapore/rent/property/seahill-condo-mTmfxKsZEyg5KGAaDyFyWT
"Pool Deck,Aircon,Closet,Security,Stove,Duplex / Maisonette,Fridge,Hydrotherapy Pool,Utility Room,Sea View,Steam Room,Playground,Parking,Washer,Wading Pool,Lap Pool,Gym,Outdoor Dining","2,713 sqft (built up)","Elevated on Pasir Panjang Hill, Horizon Residences is a luxurious freehold condo located within the Greater Southern Waterfront district.

Horizon Residences is surrounded by serene, natural beauty, leaving the bustling city behind. Living spaces are complemented by the gentle breeze, and views of the calming sea and infinite horizon.

~ 12 mins’ walk to Haw Par Villa MRT station
~ Short drive to Mapletree Business City & One-North
~ Mins’ drive to Sentosa & Marina Downtown
~ Close to National University of Singapore

Facilities
~ Dining & Lounge Pavilions
~ Sun Lounging Deck
~ Lap Pool
~ Hydrotherapy Pool
~ Children’s Pool
~ Gym

Available for Lease: 4-bedroom duplex unit
~ Partially furnished
~ 4 bedrooms
~ 4 bathrooms (2 attached, 1 powder, 1 yard)
~ Utility room
~ Private outdoor jacuzzi
~ 2713 sqft approx
~ Available mid-Sep
~ Asking $10,000/mth negotiable

The Time is Now. Call us @ 9722-9968.
Gavin Gan (Reg No: R020227H)
OrangeTee & Tie (L3009250K)

__________________________________
Renting is Easy when You Talk to Us
More listings at www.SGrentals.com",D05,All races welcome,,,Partially Furnished,,Flexible,Horizon Residences,4 Baths,4 Beds,Allowed,S$3.69 psf,"S$10,000/mo",https://www.99.co/singapore/rent/property/horizon-residences-condo-TnMArqbpTQ63UMfSp7BhG9
"City View,Security,Loft,Closet,TV,Stove,Fridge,Bed,Aircon,Utility Room,Parking,High Floor,Washer,Wading Pool,Lap Pool,Gym,BBQ",764 sqft (built up),"Vida is set in the prime residential district of Peck Hay Road and Cairnhill Rise, within walking distance to Orchard and Newton MRT stations. This centrally-located property is near Tanglin Club, American Club and Newton Food Centre.

~ Mins’ walk to Orchard Road shopping belt
~ Mins’ walk to Newton MRT station
~ Near esteemed schools such as Raffles Girls School, Chatsworth International School, ISS International School and EtonHouse (an International Pre-school)
~ 10 minutes’ drive to Singapore Botanic Gardens, a UNESCO World Heritage Site

Facilities
~ 24-hour Security
~ BBQ Pavilion
~ Gym
~ Hydro-Foot Reflexology Pool
~ Spa Massage Pool
~ Swimming Pool

Available for Lease: 1-bedroom unit with loft space
~ Fully furnished
~ 1 bedroom
~ Ensuite bathroom
~ 764 sqft approx
~ Immediate move-in condition
~ Asking $4600/mth negotiable

The Time is Now. Call us @ 9722-9968.
Gavin Gan (Reg No: R020227H)
OrangeTee & Tie (L3009250K)

__________________________________
Renting is Easy when You Talk to Us
More listings at www.SGrentals.com",D09,All races welcome,,,Fully Furnished,,Flexible,Vida,1 Bath,1 Bed,Allowed,S$6.02 psf,"S$4,600/mo",https://www.99.co/singapore/rent/property/vida-condo-3VZooeKRcT6EXdB4qW3eZh
"Lap Pool,Jacuzzi,Aircon,Closet,High Floor,Stove,Gym,Washer,Fridge",904 sqft (built up),"The Scotts Tower is a prime locale in the Orchard Road precinct. Designed by Ben van Berkel of world-renowned UNStudio.

~ 4 minutes’ walk to Newton MRT Station
~ Minutes’ walk to Orchard Road
~ Close to reputable schools such as Anglo-Chinese School (Junior) and Raffles Girls’ School

Facilities
~ BBQ Pod
~ Fitness Pod
~ Dining Pod
~ Massage Pod
~ Meeting Pod
~ Outdoor Dining Terrace
~ Bar Lounge
~ Party Deck
~ Hydrotherapy Pool
~ Swimming Pool
~ Kids' Fun Pool
~ Kids' Play Space

Available for Rent/Lease: 2-bedroom unit
~ Partial furnished
~ 2 bedrooms
~ 2 bathrooms (1 attached, 1 common)
~ 904 sqft approx
~ Available after mid-Aug
~ Asking $7000/mth negotiable

The Time is Now. Call us @ 9722-9968.
Gavin Gan (Reg No: R020227H)
OrangeTee & Tie (L3009250K)

__________________________________
Renting is Easy when You Talk to Us
More listings at www.SGrentals.com",D09,All races welcome,,,Partially Furnished,,Flexible,The Scotts Tower,2 Baths,2 Beds,Allowed,S$7.74 psf,"S$7,000/mo",https://www.99.co/singapore/rent/property/the-scotts-tower-condo-guV9JAd4WDtBcUFHe348oD
"Security,Roof Terrace,Closet,Greenery View,Fridge,Aircon,Utility Room,Jacuzzi,Playground,Fitness Corner,Parking,Washer,Wading Pool,Lap Pool,Stove,BBQ","2,885 sqft (built up)","Set in a serene and exclusive enclave, Cabana is the perfect choice for families who enjoy large living spaces and resort-style facilities.

Each home comes with 4 large bedrooms, a roof terrace, dry and wet kitchen, en-suite bathroom and two private carpark lots.

~ Minutes’ drive to Yio Chu Kang MRT station
~ Minutes’ drive to schools such as Australian International School & Lycee Francais de Singapour
~ Close to retail and F&B options at Greenwich V, Seletar Mall & AMK Hub
~ Minutes’ drive to Seletar Aerospace Park

Facilities
~ BBQ Cabana
~ Outdoor Fitness Court
~ Boardwalk
~ Swimming Pool
~ Children’s Playground

Available for Lease: 4-bedroom cluster house
~ Partially furnished
~ 4 bedrooms
~ 4 bathrooms (2 attached, 2 common)
~ Utility room
~ Equipped with wet and dry kitchens
~ Private roof terrace
~ Private parking lot space
~ 2885 sqft approx
~ Available for immediate move-in
~ Asking $5500/mth negotiable

The Time is Now. Call us @ 9722-9968.
Gavin Gan (Reg No: R020227H)
OrangeTee & Tie (L3009250K)

__________________________________
Renting is Easy when You Talk to Us
More listings @ www.SGrentals.com",,All races welcome,,,Partially Furnished,,Flexible,Cabana,4 Baths,4 Beds,Allowed,S$1.91 psf,"S$5,500/mo",https://www.99.co/singapore/rent/property/property-in-singapore-landed-8ixvWDojLSbtSMphw2kMEh
"Low Floor,Security,Aircon,Closet,Parking",915 sqft (built up),"3 Bedrooms for Rent

Available Now!

Aircon is available

About 10 mins walking distance to Dakota, Aljunied & Paya Lebar MRT Station

About 5 mins walking distance to Kong Hwa School

Bus service number 2, 13, 21, 26, 40, 51, 67, 137

Plenty famous food stalls around the corner, convenient shops just downstair

View to appreciate!",D14,,,03,Partially Furnished,Yes,24 months,The Arizon,2 Baths,3 Beds,,S$3.17 psf,"S$2,900/mo",https://www.99.co/singapore/rent/property/the-arizon-condo-VnwAhWUSshmk69iWqJn9vZ
"Stove,Fridge,Sauna,Jacuzzi,Tennis Court,Parking,Security,Basketball Court,Closet,Aircon,Swimming Pool,Utility Room,Playground,Fitness Corner,High Floor,Washer,Gym,BBQ","1,625 sqft (built up)","Orchard Scotts is a premier development located amidst the serenity of Cairnhill Road and Anthony Road.

As the winner of the Residential Category at the 2009 FIABCI Prix d’Excellence Awards (widely recognised as the highest honour in international real estate), Orchard Scotts combines innovative design and cutting edge technology to create real estate values for residents.

A substantial part of this prime site has been devoted to landscaping and residential amenities for the enjoyment of residents, with physical structures making up only 25% of its sprawling 2.5 hectare grounds.

Residents at Orchard Scotts enjoy full condominium facilities and 24-hour security. In addition, residents enjoy concierge services (8am - 10.30pm daily), complimentary shuttle bus services, and lifestyle programmes organised by the property management.

~ 5 mins walk to Newton MRT Station
~ Walking distance to shopping and entertainment belt along Orchard Road
~ Minutes’ drive to the Central Business District (CBD)
~ Minutes’ drive to recreational facilities such as The Premier Club and Tanglin club
~ Minutes’ walk to renowned international schools such as ISS and Chatsworth International School (Orchard Campus)

Available for Lease: 3-bedroom unit
~ Partially furnished
~ 3 bedrooms
~ 4 bathrooms (1 attached, 1 common, 1 powder, 1 yard)
~ 1625 sqft approx
~ Available mid-September
~ Asking $9000/mth negotiable

The Time is Now. Call us @ 9722-9968.
Gavin Gan (Reg No: R020227H)
OrangeTee & Tie (L3009250K)

__________________________________
Renting is Easy when You Talk to Us
More listings at www.SGrentals.com",D09,All races welcome,,,Partially Furnished,,Flexible,Orchard Scotts,4 Baths,3 Beds,Allowed,S$5.54 psf,"S$9,000/mo",https://www.99.co/singapore/rent/property/orchard-scotts-condo-9fLTr23mUxNyBPB4pYsQPe
"Renovated,Closet,High Ceiling,Aircon,Greenery View,Fridge,Maid Room,Utility Room,Dryer,Oven,Washer,Bathtub,Stove,Balcony","3,600 sqft (built up)",3storeys + full basement in this 2200sf land and 3600sf built-up semi-detached with regular & functional layout. 2 common bedrooms on 2nd floor & 2 master bedrooms on 3rd floor with sound-proof entertainment in the basement. ,D10,All races welcome,,,Partially Furnished,,24 months,Holland Grove,4 Baths,4 Beds,Allowed,S$2.08 psf,"S$7,500/mo",https://www.99.co/singapore/rent/property/holland-grove-view-landed-2EzFMjZsoJNLVHDMjXkwf4
"Clubhouse,Basketball Court,High Ceiling,Stove,Gym,City View,Fridge,Dryer,Tennis Court,Oven,Parking,Mid Floor,Balcony,Infinity Pool,Bomb Shelter,Fibre Ready,Renovated,Closet,Swimming Pool,Greenery View,Aircon,Wading Pool,Jacuzzi,Playground,Fitness Corner,Washer,Bathtub,BBQ","1,604 sqft (built up)","Mid floor with beautiful Marina Bay Sands view of laser show everyday + fire works during festivals. Regular layout, 3 good size rooms all possible with double beds + household shelter for storage. Full facilities with huge pools, 2 gyms (sky & 2nd floor) etc...",D09,All races welcome,East,,,Yes,24 months,Rivergate,3 Baths,3 Beds,Allowed,S$4.68 psf,"S$7,500/mo",https://www.99.co/singapore/rent/property/rivergate-condo-qssG9GgSvfnBc6Pa9Y4Cin
"Low Floor,Aircon,Washer,Stove,Fibre Ready,Fridge,Balcony",990 sqft (built up),"Move in anytime 

- Located at the heart of Orchard Road  
- 10 walk Mins to Dhoby Ghaut MRT 
- Furnishing open to discussion 
- Huge Space compare to the nearby condo 
- Peaceful and Quiet Environment 
- Singapore Management University and Private School are located nearby 

For more info, please call 9696 4398 

Cheers
Propnex Powerful Negotiator Group 
Stewart Lim Associates",D09,All races welcome,South,,Partially Furnished,,12 months,Hollywood Apartments,2 Baths,2 Beds,,S$3.03 psf,"S$3,000/mo",https://www.99.co/singapore/rent/property/hollywood-apartments-condo-wGBJ8X57wk8LWQ4cLXqhYV
"Function Room,Fitness Corner,Water Feature,Gym,Fridge,Spa Pavilion,Water Channel,Tennis Court,Oven,Undrewater Fitness Station,Pond,Outdoor Dining,Balcony,Fun Pool,Closet,Aircon,Hammocks,Lap Pool,Viewing Deck,Lounge,Swimming Pool,Fountain,Playground,Audio System,High Floor,Reflexology Path,BBQ",431 sqft (built up),"Description
Keys just collected!

✅ Brand new!! Be the FIRST tenant of this One Bedroom plus Study Delux unit!
✅ MRT!! MRT!!
✅ Supermarkets and shops  just under and beside your condo! Super convenient!!
✅ 431 sqf - fully functional layout 
✅ Face North

Call Ivy Ang at 97687208 to arrange for viewing appointment now .....

Some small info on North Park:
North Park Residences – Unique Selling Points

The location is by far and away the biggest draw for North Park Residences, being built as it is on top of Northpoint City – the largest mall in the north of the island. 

It boasts more than 400 retail and dining options, with Northpoint Link an underground walkway connecting North Park Residences to the Yishun MRT Station home.

There is also a bus interchange, library, cinema, community club and town plaza on site. North Park Residences itself features 88 facilities of its own, as well as a wide range of unit types.

North Park Residences – Accessibility

North Park Residences couldn’t be more conveniently located in terms of transport, retail and indeed dining options, sitting as it does on top of the largest shopping mall in the north of the island. 

It will be connected to Yishun MRT Station on the North South Line via Northpoint Link, an underground walkway that itself will be home to 30 retail outlets. 

From there Orchard Road is 9 stops, with the CBD a further 3 stops away, meaning commuters can comfortably be door to door in under half an hour. North Park Residences is next to the SLE, which leads onto the CTE meaning drivers can be in the CBD in 20 minutes.",D27,,North,,Partially Furnished,,12 months,North Park Residences,1 Bath,1 Bed,,S$5.34 psf,"S$2,300/mo",https://www.99.co/singapore/rent/property/north-park-residences-condo-piiXQAdP5BcGVMiEofAA56
"Function Room,Water Feature,Spa Pavilion,Water Channel,Oven,Pond,Outdoor Dining,Balcony,Fun Pool,Lap Pool,TV,Lounge,Fountain,Playground,Dining Room Furniture,Washer,Fibre Ready,BBQ,Fitness Corner,Gym,Fridge,Dryer,Tennis Court,Undrewater Fitness Station,Aircon,Hammocks,Sofa,Bed,Viewing Deck,Swimming Pool,Study Room,Audio System,Reflexology Path",549 sqft (built up),"Description
Keys just collected!

✅ Brand new!! Be the FIRST tenant of this One Bedroom plus Study Delux unit!
✅ MRT!! MRT!!
✅ Supermarkets and shops  just under and beside your condo! Super convenient!!
✅ 549 sqf - fully functional layout 
✅ Face North

Call Ivy Ang at 97687208 to arrange for viewing appointment now .....

Some small info on North Park:
North Park Residences – Unique Selling Points

The location is by far and away the biggest draw for North Park Residences, being built as it is on top of Northpoint City – the largest mall in the north of the island. 

It boasts more than 400 retail and dining options, with Northpoint Link an underground walkway connecting North Park Residences to the Yishun MRT Station home.

There is also a bus interchange, library, cinema, community club and town plaza on site. North Park Residences itself features 88 facilities of its own, as well as a wide range of unit types.

North Park Residences – Accessibility

North Park Residences couldn’t be more conveniently located in terms of transport, retail and indeed dining options, sitting as it does on top of the largest shopping mall in the north of the island. 

It will be connected to Yishun MRT Station on the North South Line via Northpoint Link, an underground walkway that itself will be home to 30 retail outlets. 

From there Orchard Road is 9 stops, with the CBD a further 3 stops away, meaning commuters can comfortably be door to door in under half an hour. North Park Residences is next to the SLE, which leads onto the CTE meaning drivers can be in the CBD in 20 minutes.",D27,,,,Partially Furnished,Yes,12 months,North Park Residences,1 Bath,1 Bed,,S$4.55 psf,"S$2,500/mo",https://www.99.co/singapore/rent/property/north-park-residences-condo-VUBrPfd4ATJkyLDZcdkEAP
"Clubhouse,Playground,Security,Aircon,Squash Court,Sofa,Greenery View,Parking,Sauna,Swimming Pool,Wading Pool,Sea View,Tennis Court,Fitness Corner,Dining Room Furniture,High Floor,Washer,Games Room,Gym,BBQ,Balcony","1,141 sqft (built up)","3 bedroom 
Facing reservoir
Full furnished. 
Queen size bed.
Single size bed.
Fridge. Washer. 
Renovated kitchen.
Sofa.
Dining table.
Coffee table.
Tv and TV Console.

Too good a price to miss.
Available Immediate!
Friendly Chinese landlord 
Sole agent , Hock Ngee


www.chewhockngee.com

All size indicated is approximate.

Pls call Hock Ngee at 9722 5151 for more information.

*********Singapore Excellence Award 2013/2014 Top 100 Winner.
1st in HSR History & the ONLY among 31,783 salesperson  **********

2013/2014 IEA Realtors Award - Gold Award Winner.

HSR 2013 Overall #1 Achiever.
HSR 2013 Overall #1 Lister.
HSR 2012 Overall #1 Achiever. ( Division)
HSR 2013 Overall #1 Achiever. ( Division)
HSR 2013 Overall #1 Lister. ( Division)
HSR 2013 Overall #1 Recruiter. ( Division)
HSR 2012 Overall #3 Achiever.
HSR 2012 Overall #2 Lister.",D27,All races welcome,North South,,Partially Furnished,,24 months,Orchid Park Condominium,3 Baths,3 Beds,,S$2.09 psf,"S$2,388/mo",https://www.99.co/singapore/rent/property/orchid-park-condominium-condo-oASnxfGsgaJUzn77mdEMNn
